Department,Department Abbreviation,Body/Agency,Agency Abbreviation,Name of service,April 2011 to March 2012: volume,April 2011 to March 2012: digital volume,April 2011 to March 2012: cost per transaction (£),January 2012 to December 2012: volume,January 2012 to December 2012: digital volume,January 2012 to December 2012: cost per transaction (£),April 2012 to March 2013: volume,April 2012 to March 2013: digital volume,April 2012 to March 2013: cost per transaction (£),July 2012 to June 2013: volume,July 2012 to June 2013: digital volume,July 2012 to June 2013: cost per transaction (£),October 2012 to September 2013: volume,October 2012 to September 2013: digital volume,October 2012 to September 2013: cost per transaction (£),January 2013 to December 2013: volume,January 2013 to December 2013: digital volume,January 2013 to December 2013: cost per transaction (£),Latest volume,Latest digital volume,Latest cost per transaction (£),Service Type,URL,Description of service,Notes on costs,Other notes,Customer type,Business model
Department for Transport,DfT,Vehicle and Operator Services Agency,VOSA,Application to be a MOT scheme Authorised Examiner,2500,,,2500,0,,2000,,,1761,0,,1700,,,1641,,,1641,,,Requesting a licence or consent,,,,,Business,Fees and charges
Department for Transport,DfT,Vehicle and Operator Services Agency,VOSA,Application to be a MOT scheme Nominated Tester (NT),6000,,,6000,0,,5000,,,4988,0,,5132,,,4997,,,4997,,,Requesting a licence or consent,,,,,Business,Fees and charges
Department for Transport,DfT,Vehicle and Operator Services Agency,VOSA,Application to be an HGV/PSV operator,7000,,,6000,0,,3000,,,6234,0,,6253,,,6271,,,6271,,,Requesting a licence or consent,,,,,Business,Fees and charges
Department for Transport,DfT,Vehicle and Operator Services Agency,VOSA,Statutory update of bus registrations with operator licensing,19000,,,17000,3722,,16986,3722,,17176,3852,,16466,,,15992,,,15992,,,Amending/deleting information,https://www.tan.gov.uk/Operator/AuthFiles/VOSA_Login.asp,,,,Business,Fees and charges
Department for Transport,DfT,Vehicle and Operator Services Agency,VOSA,Statutory update of operator licence,371000,,,350000,253788,,352000,260000,,358224,267615,,363691,,,369191,,,369191,,,Amending/deleting information,,,,,Business,Fees and charges
Department of Health,DH,Care Quality Commission,CQC,Application withdrawal,,,,,,,338,,,313,,,275,,,321,,,321,,,Providing information,http://www.cqc.org.uk/organisations-we-regulate/registered-services/making-changes-your-registration,,,,Business,
Department of Health,DH,Care Quality Commission,CQC,Cancellation by providers,,,,,,,2779,,,2603,,,2835,,,3228,,,3228,,,Providing information,,,,,Business,
Department of Health,DH,Care Quality Commission,CQC,Cancellations by registered managers,,,,,,,7266,,,7473,,,7736,,,7835,,,7835,,,Providing information,,,,,Business,
Department of Health,DH,Care Quality Commission,CQC,Change or remove suspension,,,,,,,1,,,3,,,3,,,10,,,10,,,Providing information,http://www.cqc.org.uk/organisations-we-regulate/registered-services/making-changes-your-registration,,,,Business,
Department of Health,DH,Care Quality Commission,CQC,Changes to registration for providers,,,,,,,11943,,,16115,,,17436,,,18207,,,18207,,,Providing information,,,,,Business,
Department of Health,DH,Care Quality Commission,CQC,Changes to registration for registered managers,,,,,,,8490,,,11526,,,15816,,,18347,,,18347,,,Providing information,,,,,Business,
Department of Health,DH,Care Quality Commission,CQC,Notifications,,,,,,,,,,261860,5776,,271917,,,279942,,,279942,,,,,,,,Business,
Department of Health,DH,Care Quality Commission,CQC,Registration for registered managers,,,,,,,12684,,,14099,,,,,,16717,,,16717,,,Registering,,,,,Business,
Department of Health,DH,Care Quality Commission,CQC,Registrations for providers,,,,,,,4982,,,13462,7784,,,,,6785,,,6785,,,Registering,,,,,Business,
Department of Health,DH,Department of Health,DH,Certificates of Free Sale for the exportation of medical devices,,,,,,,5011,,,5339,,,,,,,,,5339,,,Requesting a licence or consent,http://www.info.doh.gov.uk/cfs/cfsusers.nsf,Certificates of Free Sale for the exportation of medical devices are issued to UK based manufacturers/distributors of CE marked medical devices exporting to countries outside of the European Economic Area.,,,Business,
Department of Health,DH,Department of Health,DH,European Health Insurance Card (EHIC): applications,,,,,,,3355078,2880502,1.01,3561895,3067201,1.09,3520818,3042633,0.97,3501888,3029004,0.96,3501888,3029004,0.96,Requesting a licence or consent,https://www.ehic.org.uk/,Applications for European Health Insurance Cards. The EHIC replaced the E111 in 2006. An EHIC lets patients get state healthcare in Europe at a reduced cost or sometimes free.,"Average cost per transaction includes:<br> - staff - estimated cost of salaries, pensions and National Insurance contributions for staff directly involved in the process<br> - overheads - includes all the related administrative expenditure including EHIC management, information technology maintenance and estates; capital expenditure, including IT development costs and depreciation, are excluded<br> - printing and distribution - includes internal printing costs, cost of stationery, cards, card personalisation, printing of carrier letters, and sorting of mail<br><br>Costs relating to the production, distribution and promotion of EHIC application forms and the processing of medical expenses claims are excluded. The Department for Work and Pensions is responsible for these costs.","Figures have been calculated based on number of applications processed rather than on the number of cards issued. More than one card may be issued per application. An EHIC is valid for five years.<br>EHIC applications can be made online, by post or by telephone, but the following applicants can only apply by post:<br><br>1) Dependants of a citizen working in the UK, who live in an EU member state<br>2) Pensioners or persons who are in receipt of long-term benefit from the UK who live in an EU member state<br>3) Non- European Economic Area (EEA) nationals.",Individuals,Taxpayers
Department of Health,DH,Department of Health,DH,Healthy Start applications,,,,,,,336400,,,288686,,,276761,,,268907,,,268907,,,"Requesting benefits, payments or loans",http://www.healthystart.nhs.uk/healthy-start-vouchers/how-to-apply/,Applications for the Healthy Start scheme from qualifying families.,"Cost per application can't be separated from overall contract cost (which also involves four-weekly printing and mailing of vouchers, and associated customer services).",,Individuals,
Department of Health,DH,Department of Health,DH,Healthy Start reimbursements,,,,,,,,,,52615,,12.93,49732,,13.43,49267,,13.31,49267,,13.31,"Requesting benefits, payments or loans",http://www.healthystart.nhs.uk/,Payments for Healthy Start food vouchers which have been accepted by retailers.,,,Business,Taxpayers
Department of Health,DH,Department of Health,DH,Maternity exemption (MATEX) applications,,,,,,,463431,782,2.33,460608,1458,2.57,459731,2211,2.34,460120,2813,2.35,460120,2813,2.35,Registering,http://www.nhsbsa.nhs.uk/1039.aspx,Pregnant women and those who have had a baby in the last 12 months can apply for a maternity exemption (MATEX) certificate. The certificate can entitle them to free NHS prescriptions and NHS dental treatment.,"Average cost per transaction includes:<br> - postage - estimate of cost incurred for use of a postal service; this figure does not include the cost of stationery<br> - staff - estimated cost of salaries, pensions and National Insurance contributions for staff directly involved in the process<br> - overheads - includes all related administrative expenditure including management, information technology maintenance and estates; capital expenditure, including IT development costs and depreciation, are excluded<br> - printing and distribution - includes internal printing costs, cost of stationery, cards, card personalisation, printing of carrier letters, and sorting of mail","The NHS Business Services Authority administers Maternity Exemption Certificates for England only.<br>The MATEX certificate provides entitlement to free NHS prescriptions. However, a woman who is pregnant or has had a baby in the last 12 months is entitled to free NHS dental treatment without a valid certificate. For NHS dental treatment, the certificate is used as a means of proof of entitlement.",Individuals,Taxpayers
Department of Health,DH,Department of Health,DH,Medical exemption (MEDEX) applications,,,,,,,339440,77429,2.33,359151,78655,2.57,374579,92192,2.34,375389,76541,2.35,375389,76541,2.35,Registering,http://www.nhsbsa.nhs.uk/1126.aspx,People with certain medical conditions can get free NHS prescriptions if they hold a valid medical exemption (MEDEX) certificate.,"Average cost per transaction includes:<br> - postage - estimate of cost incurred for use of a postal service; this figure does not include the cost of stationery<br> - staff - estimated cost of salaries, pensions and National Insurance contributions for staff directly involved in the process<br> - overheads - includes all related administrative expenditure including management, information technology maintenance and estates; capital expenditure, including IT development costs and depreciation, are excluded<br> - printing and distribution - includes internal printing costs, cost of stationery, cards, card personalisation, printing of carrier letters, and sorting of mail","The NHS Business Services Authority administers MEDEX certificates for England only.<br>The MEDEX certificate can be used by patients until it expires even if the patient's medical condition improves. After 5 years, a new application may be made if the patient still suffers from the qualifying medical conditions.<br>A holder of a valid medical exemption is entitled to free NHS prescriptions for all prescriptions and not just those relating to their medical condition.",Individuals,Taxpayers
Department of Health,DH,Department of Health,DH,NHS Low Income Scheme: HC1 applications,,,,,,,395539,0,9.55,393689,0,10.27,392051,0,9.37,389590,0,9.32,389590,0,9.32,"Requesting benefits, payments or loans",http://www.nhsbsa.nhs.uk/1125.aspx,"NHS Low Income Scheme is run on behalf of the Department of Health for England, the Scottish Government and the Welsh Assembly Government. The Scheme provides income-related help to people who are not automatically exempt from charges but who may be entitled to full or partial help if they have a low income.<br>The scheme covers NHS Prescriptions; NHS Dental Treatment; sight tests, glasses and contact lenses; travel to receive NHS treatment; NHS wigs and fabric supports.","Average cost per transaction includes:<br> - postage - estimate of cost incurred for use of a postal service; this figure does not include the cost of stationery<br> - staff - estimated cost of salaries, pensions and National Insurance contributions for staff directly involved in the process<br> - overheads - includes all related administrative expenditure including management, information technology maintenance and estates; capital expenditure, including IT development costs and depreciation, are excluded<br> - printing and distribution - includes internal printing costs, cost of stationery, cards, card personalisation, printing of carrier letters, and sorting of mail",Digital transactions are not used in the processing of HC1 application forms. ,Individuals,Taxpayers
